,Download Path,Graph Name,K,Filesize,avg_num_triangles,max_num_triangles,Type,avg_degree,max_degree,Assort. Coeff.,|E|,num_triangles,|V|,global_clustering_coeff,avg_global_clustering_coeff,omega
17,http://nrvis.com/./download/data/bhoslib/frb45-21-2.zip,frb45-21-2,769,809 KB,291K,327K,bhoslib,819,870,-0.03,387K,275M,945,0.87,0.87,37
18,http://nrvis.com/./download/data/bhoslib/frb45-21-3.zip,frb45-21-3,764,811 KB,292K,330K,bhoslib,820,872,-0.02,388K,276M,945,0.87,0.87,36
19,http://nrvis.com/./download/data/bhoslib/frb45-21-4.zip,frb45-21-4,757,810 KB,292K,331K,bhoslib,820,875,-0.03,387K,276M,945,0.87,0.87,36
20,http://nrvis.com/./download/data/bhoslib/frb45-21-5.zip,frb45-21-5,771,806 KB,291K,331K,bhoslib,820,874,-0.03,387K,275M,945,0.87,0.87,36
21,http://nrvis.com/./download/data/bhoslib/frb50-23-1.zip,frb50-23-1,950,1 MB,447K,496K,bhoslib,1K,1K,-0.02,581K,514M,1K,0.88,0.88,40
22,http://nrvis.com/./download/data/bhoslib/frb50-23-2.zip,frb50-23-2,936,1 MB,446K,505K,bhoslib,1K,1K,-0.02,580K,512M,1K,0.88,0.88,40
23,http://nrvis.com/./download/data/bhoslib/frb50-23-3.zip,frb50-23-3,953,1 MB,445K,508K,bhoslib,1K,1K,-0.02,580K,512M,1K,0.88,0.88,40
24,http://nrvis.com/./download/data/bhoslib/frb50-23-4.zip,frb50-23-4,950,1 MB,447K,503K,bhoslib,1K,1K,-0.03,580K,514M,1K,0.88,0.88,40
25,http://nrvis.com/./download/data/bhoslib/frb50-23-5.zip,frb50-23-5,949,1 MB,448K,511K,bhoslib,1K,1K,-0.03,581K,515M,1K,0.88,0.88,41
26,http://nrvis.com/./download/data/bhoslib/frb53-24-1.zip,frb53-24-1,1K,2 MB,556K,619K,bhoslib,1K,1K,-0.01,714K,708M,1K,0.88,0.88,42
27,http://nrvis.com/./download/data/bhoslib/frb53-24-2.zip,frb53-24-2,1K,2 MB,556K,615K,bhoslib,1K,1K,-0.02,714K,707M,1K,0.88,0.88,42
28,http://nrvis.com/./download/data/bhoslib/frb53-24-3.zip,frb53-24-3,1K,2 MB,556K,617K,bhoslib,1K,1K,-0.02,714K,708M,1K,0.88,0.88,43
29,http://nrvis.com/./download/data/bhoslib/frb53-24-4.zip,frb53-24-4,1K,2 MB,556K,622K,bhoslib,1K,1K,-0.02,714K,707M,1K,0.88,0.88,42
30,http://nrvis.com/./download/data/bhoslib/frb53-24-5.zip,frb53-24-5,1K,2 MB,556K,633K,bhoslib,1K,1K,-0.02,714K,707M,1K,0.88,0.88,42
31,http://nrvis.com/./download/data/bhoslib/frb59-26-1.zip,frb59-26-1,1K,2 MB,834K,921K,bhoslib,1K,1K,-0.01,1M,1B,2K,0.89,0.89,48
32,http://nrvis.com/./download/data/bhoslib/frb59-26-2.zip,frb59-26-2,1K,2 MB,835K,915K,bhoslib,1K,1K,-0.02,1M,1B,2K,0.89,0.89,47
33,http://nrvis.com/./download/data/bhoslib/frb59-26-3.zip,frb59-26-3,1K,2 MB,835K,943K,bhoslib,1K,1K,-0.02,1M,1B,2K,0.89,0.89,46
34,http://nrvis.com/./download/data/bhoslib/frb59-26-4.zip,frb59-26-4,1K,2 MB,833K,917K,bhoslib,1K,1K,-0.01,1M,1B,2K,0.89,0.89,47
35,http://nrvis.com/./download/data/bhoslib/frb59-26-5.zip,frb59-26-5,1K,2 MB,836K,938K,bhoslib,1K,1K,-0.02,1M,1B,2K,0.89,0.89,45
36,http://nrvis.com/./download/data/bio/bio-celegans-dir.zip,bio-celegans-dir,115,9 KB,541,27K,bio,20,634,-0.07,5K,245K,453,0.35,3.26,9
37,http://nrvis.com/./download/data/bio/bio-celegans.zip,bio-celegans,11,6 KB,21,870,bio,8,237,-0.23,2K,10K,453,0.12,0.65,9
38,http://nrvis.com/./download/data/bio/bio-diseasome.zip,bio-diseasome,11,4 KB,7,152,bio,4,50,0.07,1K,4K,516,0.43,0.64,11
39,http://nrvis.com/./download/data/bio/bio-dmela.zip,bio-dmela,12,84 KB,1,225,bio,6,190,-0.05,26K,9K,7K,0.01,0.01,7
40,http://nrvis.com/./download/data/bio/bio-human-gene1.zip,bio-human-gene1,2K,139 MB,934K,9M,bio,1K,8K,0.14,12M,20B,22K,0.57,0.62,1K
41,http://nrvis.com/./download/data/bio/bio-human-gene2.zip,bio-human-gene2,2K,60 MB,105M,7M,bio,1K,7K,0.08,9M,15B,14K,0.59,0.65,1K
42,http://nrvis.com/./download/data/bio/bio-mouse-gene.zip,bio-mouse-gene,1K,156 MB,252K,4M,bio,670,8K,0.00,14M,11B,43K,0.42,0.51,418
43,http://nrvis.com/./download/data/bio/bio-yeast-protein-inter.zip,bio-yeast-protein-inter,11,16 KB,1,72,bio,4,112,-0.16,4K,3K,2K,0.05,0.05,6
44,http://nrvis.com/./download/data/bio/bio-yeast.zip,bio-yeast,6,7 KB,-,18,bio,2,56,-0.21,2K,618,1K,0.05,0.07,6
45,http://nrvis.com/./download/data/bn/bn-cat-mixed-species_brain_1.zip,bn-cat-mixed-species-brain-1,27,3 KB,433,1K,bn,35,72,0.01,1K,28K,65,0.60,0.71,11
46,http://nrvis.com/./download/data/bn/bn-fly-drosophila_medulla_1.zip,bn-fly-drosophila-medulla-1,329,32 KB,6K,737K,bn,37,16K,-0.33,34K,11M,2K,0.08,3.87,8
47,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025864_session_1-bg.zip,bn-human-BNU-1-0025864-session-1-bg,1K,366 MB,86K,8M,bn,411,15K,0.44,143M,60B,696K,0.32,0.52,133
48,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025864_session_2-bg.zip,bn-human-BNU-1-0025864-session-2-bg,1K,342 MB,74K,4M,bn,385,8K,0.47,134M,51B,693K,0.32,0.52,129
49,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025865_session_1-bg.zip,bn-human-BNU-1-0025865-session-1-bg,1K,425 MB,85K,5M,bn,451,8K,0.35,166M,62B,735K,0.31,0.51,224
50,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025865_session_2-bg.zip,bn-human-BNU-1-0025865-session-2-bg,955,399 MB,77K,4M,bn,434,10K,0.35,155M,55B,715K,0.31,0.51,129
51,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025867_session_1-bg.zip,bn-human-BNU-1-0025867-session-1-bg,881,374 MB,66K,4M,bn,388,8K,0.38,145M,49B,747K,0.31,0.51,123
52,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025867_session_2-bg.zip,bn-human-BNU-1-0025867-session-2-bg,1K,398 MB,79K,5M,bn,420,7K,0.51,155M,58B,735K,0.31,0.51,190
53,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025868_session_1-bg.zip,bn-human-BNU-1-0025868-session-1-bg,1K,385 MB,78K,4M,bn,413,8K,0.43,150M,57B,727K,0.30,0.52,206
54,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025868_session_2-bg.zip,bn-human-BNU-1-0025868-session-2-bg,1K,407 MB,94K,5M,bn,435,11K,0.52,159M,69B,728K,0.29,0.51,177
55,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025869_session_1-bg.zip,bn-human-BNU-1-0025869-session-1-bg,1K,345 MB,78K,6M,bn,391,10K,0.40,135M,54B,691K,0.32,0.53,157
56,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025869_session_2-bg.zip,bn-human-BNU-1-0025869-session-2-bg,1K,386 MB,102K,7M,bn,423,12K,0.46,152M,73B,716K,0.32,0.53,234
57,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025870_session_1-bg.zip,bn-human-BNU-1-0025870-session-1-bg,912,382 MB,66K,3M,bn,373,8K,0.40,149M,53B,797K,0.31,0.51,142
58,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025870_session_2-bg.zip,bn-human-BNU-1-0025870-session-2-bg,1K,429 MB,85K,6M,bn,411,10K,0.50,167M,69B,811K,0.29,0.51,118
59,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025871_session_1-bg.zip,bn-human-BNU-1-0025871-session-1-bg,1K,430 MB,91K,5M,bn,451,8K,0.42,169M,68B,747K,0.32,0.51,249
60,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025871_session_2-bg.zip,bn-human-BNU-1-0025871-session-2-bg,1K,435 MB,99K,6M,bn,465,9K,0.44,171M,73B,735K,0.32,0.51,198
61,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025872_session_1-bg.zip,bn-human-BNU-1-0025872-session-1-bg,2K,421 MB,144K,18M,bn,440,18K,0.49,167M,109B,756K,0.29,0.52,255
62,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025872_session_2-bg.zip,bn-human-BNU-1-0025872-session-2-bg,1K,375 MB,77K,5M,bn,384,10K,0.47,148M,59B,769K,0.32,0.52,229
63,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025873_session_1-bg.zip,bn-human-BNU-1-0025873-session-1-bg,1K,378 MB,89K,4M,bn,463,8K,0.39,150M,57B,646K,0.32,0.51,139
64,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025873_session_2-bg.zip,bn-human-BNU-1-0025873-session-2-bg,889,354 MB,71K,3M,bn,404,9K,0.33,140M,49B,692K,0.34,0.52,85
65,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025874_session_2-bg.zip,bn-human-BNU-1-0025874-session-2-bg,1K,423 MB,86K,6M,bn,425,10K,0.34,164M,66B,769K,0.29,0.51,172
66,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025876_session_1-bg.zip,bn-human-BNU-1-0025876-session-1-bg,1K,362 MB,76K,7M,bn,355,10K,0.56,140M,60B,790K,0.33,0.52,176
67,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025876_session_2-bg.zip,bn-human-BNU-1-0025876-session-2-bg,2K,358 MB,80K,8M,bn,358,10K,0.59,140M,62B,779K,0.32,0.52,184
68,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025878_session_1-bg.zip,bn-human-BNU-1-0025878-session-1-bg,897,329 MB,59K,3M,bn,365,10K,0.35,128M,41B,700K,0.31,0.52,116
69,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025886_session_1.zip,bn-human-BNU-1-0025886-session-1,1K,405 MB,74K,5M,bn,405,9K,0.42,158M,58B,780K,0.31,0.51,154
70,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025889_session_1.zip,bn-human-BNU-1-0025889-session-1,1K,373 MB,76K,3M,bn,410,9K,0.45,144M,54B,705K,0.32,0.52,205
71,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025889_session_2.zip,bn-human-BNU-1-0025889-session-2,755,341 MB,59K,3M,bn,355,8K,0.37,132M,44B,743K,0.32,0.52,187
72,http://nrvis.com/./download/data/bn/bn-human-BNU_1_0025912_session_2.zip,bn-human-BNU-1-0025912-session-2,1K,377 MB,65K,5M,bn,377,9K,0.37,148M,51B,782K,0.32,0.52,179
73,http://nrvis.com/./download/data/bn/bn-macaque-rhesus_brain_1.zip,bn-macaque-rhesus-brain-1,26,10 KB,322,3K,bn,33,164,-0.05,4K,78K,242,0.36,0.53,10
74,http://nrvis.com/./download/data/bn/bn-macaque-rhesus_brain_2.zip,bn-macaque-rhesus-brain-2,16,3 KB,109,792,bn,13,96,-0.71,628,10K,91,0.37,1.63,12
75,http://nrvis.com/./download/data/bn/bn-macaque-rhesus_cerebral-cortex_1.zip,bn-macaque-rhesus-cerebral-cortex-1,35,5 KB,945,4K,bn,43,248,-0.34,2K,86K,91,0.56,1.30,21
76,http://nrvis.com/./download/data/bn/bn-macaque-rhesus_interareal-cortical-network_2.zip,bn-macaque-rhesus-interareal-cortical-network-2,56,7 KB,2K,4K,bn,57,120,-0.53,3K,174K,93,0.75,1.56,31
77,http://nrvis.com/./download/data/bn/bn-mouse_brain_1.zip,bn-mouse-brain-1,143,53 KB,17K,31K,bn,203,314,-0.04,22K,4M,213,0.77,0.80,35
78,http://nrvis.com/./download/data/bn/bn-mouse_retina_1.zip,bn-mouse-retina-1,1K,225 KB,722K,8M,bn,1K,8K,0.02,577K,777M,1K,0.61,1.55,42
79,http://nrvis.com/./download/data/bn/bn-mouse_visual-cortex_1.zip,bn-mouse-visual-cortex-1,3,1 KB,-,1,bn,3,9,-0.47,44,3,29,0.02,0.05,3
80,http://nrvis.com/./download/data/bn/bn-mouse_visual-cortex_2.zip,bn-mouse-visual-cortex-2,3,2 KB,-,2,bn,2,31,-0.84,214,12,193,0.00,0.02,2
81,http://nrvis.com/./download/data/ca/ca-AstroPh.zip,ca-AstroPh,57,642 KB,215,11K,ca,21,504,0.21,198K,4M,19K,0.32,0.63,28
82,http://nrvis.com/./download/data/ca/ca-CSphd.zip,ca-CSphd,3,8 KB,-,4,ca,1,46,-0.20,2K,24,2K,0.00,0.01,3
83,http://nrvis.com/./download/data/ca/ca-CondMat.zip,ca-CondMat,26,332 KB,22,2K,ca,8,279,0.13,93K,520K,23K,0.26,0.63,23
84,http://nrvis.com/./download/data/ca/ca-Erdos992.zip,ca-Erdos992,8,24 KB,-,99,ca,2,61,-0.44,8K,5K,6K,0.04,0.07,7
85,http://nrvis.com/./download/data/ca/ca-GrQc.zip,ca-GrQc,44,45 KB,27,1K,ca,5,81,0.66,14K,145K,5K,0.63,0.53,44
86,http://nrvis.com/./download/data/ca/ca-HepPh.zip,ca-HepPh,239,357 KB,839,40K,ca,19,491,0.63,118K,10M,12K,0.66,0.61,239
87,http://nrvis.com/./download/data/ca/ca-IMDB.zip,ca-IMDB,24,16 MB,-,78,ca,8,2K,-0.05,4M,13K,896K,0.00,0.00,3
88,http://nrvis.com/./download/data/ca/ca-MathSciNet-dir.zip,ca-MathSciNet-dir,25,5 MB,4,2K,ca,4,496,0.12,874K,2M,392K,0.14,0.40,25
89,http://nrvis.com/./download/data/ca/ca-MathSciNet.zip,ca-MathSciNet,25,3 MB,5,2K,ca,4,496,0.10,821K,2M,333K,0.14,0.41,25
90,http://nrvis.com/./download/data/ca/ca-citeseer.zip,ca-citeseer,87,2 MB,35,5K,ca,7,1K,0.07,814K,8M,227K,0.46,0.68,69
91,http://nrvis.com/./download/data/ca/ca-coauthors-dblp.zip,ca-coauthors-dblp,337,35 MB,2K,284K,ca,56,3K,0.51,15M,1B,540K,0.66,0.80,218
92,http://nrvis.com/./download/data/ca/ca-dblp-2010.zip,ca-dblp-2010,75,2 MB,21,6K,ca,6,238,0.30,716K,5M,226K,0.38,0.64,59
93,http://nrvis.com/./download/data/ca/ca-dblp-2012.zip,ca-dblp-2012,114,4 MB,21,8K,ca,6,343,0.27,1M,7M,317K,0.31,0.63,102
94,http://nrvis.com/./download/data/ca/ca-hollywood-2009.zip,ca-hollywood-2009,2K,142 MB,14K,4M,ca,105,11K,0.35,56M,15B,1M,0.31,0.77,53
95,http://nrvis.com/./download/data/ca/ca-netscience.zip,ca-netscience,9,3 KB,7,75,ca,4,34,-0.08,914,3K,379,0.43,0.74,9
96,http://nrvis.com/./download/data/ca/ca-sandi_auths.zip,ca-sandi-auths,5,1 KB,1,7,ca,2,12,-0.26,124,126,86,0.27,0.41,5
97,http://nrvis.com/./download/data/chem/ENZYMES_g1.zip,ENZYMES-g1,4,2 KB,4.03,6.50,chem,4.54,7,-0.02,168,149,37,0.48,0.52,5
98,http://nrvis.com/./download/data/chem/ENZYMES_g10.zip,ENZYMES-g10,3,2 KB,2.13,4,chem,3.31,5,-0.03,106,68,32,0.55,0.56,4
99,http://nrvis.com/./download/data/chem/ENZYMES_g100.zip,ENZYMES-g100,3,2 KB,3,4,chem,3.60,4,-0.23,18,15,5,0.71,0.60,4
100,http://nrvis.com/./download/data/chem/ENZYMES_g101.zip,ENZYMES-g101,3,2 KB,1.51,5,chem,3.91,7,-0.02,176,68,45,0.25,0.27,4
101,http://nrvis.com/./download/data/chem/ENZYMES_g102.zip,ENZYMES-g102,3,2 KB,1.19,3,chem,3.90,6,-0.02,164,50,42,0.20,0.22,4
102,http://nrvis.com/./download/data/chem/ENZYMES_g103.zip,ENZYMES-g103,3,2 KB,1.24,4,chem,3.90,9,-0.03,230,73,59,0.20,0.22,4
103,http://nrvis.com/./download/data/chem/ENZYMES_g104.zip,ENZYMES-g104,3,2 KB,2.22,4,chem,4,5,-0.03,128,71,32,0.36,0.36,4
104,http://nrvis.com/./download/data/chem/ENZYMES_g105.zip,ENZYMES-g105,3,2 KB,2.48,7,chem,4.18,7,-0.04,138,82,33,0.36,0.37,4
105,http://nrvis.com/./download/data/chem/ENZYMES_g106.zip,ENZYMES-g106,3,2 KB,2.24,5,chem,3.53,5,-0.09,60,38,17,0.54,0.55,4
106,http://nrvis.com/./download/data/chem/ENZYMES_g107.zip,ENZYMES-g107,4,2 KB,3.15,8.50,chem,4.26,8,-0.06,166,123,39,0.43,0.45,5
107,http://nrvis.com/./download/data/chem/ENZYMES_g108.zip,ENZYMES-g108,3,2 KB,3.18,9,chem,4.32,8,-0.05,164,121,38,0.43,0.46,5
108,http://nrvis.com/./download/data/chem/ENZYMES_g109.zip,ENZYMES-g109,3,2 KB,2.77,6,chem,4,6,-0.04,140,97,35,0.44,0.44,5
109,http://nrvis.com/./download/data/chem/ENZYMES_g11.zip,ENZYMES-g11,3,2 KB,1.50,2,chem,3,3,-0.33,12,6,4,0.67,0.50,3
110,http://nrvis.com/./download/data/chem/ENZYMES_g110.zip,ENZYMES-g110,3,2 KB,2.44,5,chem,3.63,5,-0.10,58,39,16,0.55,0.56,4
111,http://nrvis.com/./download/data/chem/ENZYMES_g111.zip,ENZYMES-g111,3,2 KB,2.92,6,chem,3.77,6,-0.04,98,76,26,0.54,0.61,4
112,http://nrvis.com/./download/data/chem/ENZYMES_g112.zip,ENZYMES-g112,3,2 KB,0.98,3,chem,3.73,5,-0.03,190,50,51,0.19,0.17,4
113,http://nrvis.com/./download/data/chem/ENZYMES_g113.zip,ENZYMES-g113,3,2 KB,1.13,6,chem,3.77,6,-0.03,196,59,52,0.22,0.18,4
114,http://nrvis.com/./download/data/chem/ENZYMES_g114.zip,ENZYMES-g114,3,2 KB,2.76,5,chem,3.76,5,-0.05,94,69,25,0.53,0.54,4
115,http://nrvis.com/./download/data/chem/ENZYMES_g115.zip,ENZYMES-g115,3,2 KB,2.56,4,chem,3.78,5,-0.04,102,69,27,0.49,0.50,4
116,http://nrvis.com/./download/data/chem/ENZYMES_g116.zip,ENZYMES-g116,3,2 KB,2.57,6,chem,3.52,5,-0.03,148,108,42,0.56,0.57,5
117,http://nrvis.com/./download/data/chem/ENZYMES_g117.zip,ENZYMES-g117,3,2 KB,1.28,7,chem,3.91,8,-0.03,180,59,46,0.21,0.19,4
118,http://nrvis.com/./download/data/chem/ENZYMES_g118.zip,ENZYMES-g118,2,3 KB,-,-,chem,2.55,5,0.01,242,-,95,-,-,3
119,http://nrvis.com/./download/data/chem/ENZYMES_g119.zip,ENZYMES-g119,3,2 KB,3.17,6,chem,3.67,5,-0.09,44,38,12,0.62,0.69,4
120,http://nrvis.com/./download/data/chem/ENZYMES_g12.zip,ENZYMES-g12,3,2 KB,3.64,8,chem,4,6,-0.05,56,51,14,0.59,0.59,4
121,http://nrvis.com/./download/data/chem/ENZYMES_g120.zip,ENZYMES-g120,3,2 KB,3.09,9,chem,4.18,7,-0.02,92,68,22,0.42,0.47,5
122,http://nrvis.com/./download/data/chem/ENZYMES_g121.zip,ENZYMES-g121,3,2 KB,2.21,12,chem,3.90,9,-0.01,164,93,42,0.35,0.34,6
123,http://nrvis.com/./download/data/chem/ENZYMES_g122.zip,ENZYMES-g122,4,2 KB,3.86,8,chem,4.14,6,-0.09,58,54,14,0.59,0.56,5
124,http://nrvis.com/./download/data/chem/ENZYMES_g123.zip,ENZYMES-g123,3,3 KB,0.32,2,chem,2.82,9,-0.03,254,29,90,0.09,0.10,4
125,http://nrvis.com/./download/data/chem/ENZYMES_g124.zip,ENZYMES-g124,4,2 KB,4.21,7.50,chem,4.43,6,-0.10,62,59,14,0.58,0.59,5
126,http://nrvis.com/./download/data/chem/ENZYMES_g125.zip,ENZYMES-g125,4,2 KB,3.86,6,chem,4.71,6,-0.12,66,54,14,0.50,0.49,5
127,http://nrvis.com/./download/data/chem/ENZYMES_g126.zip,ENZYMES-g126,3,2 KB,0.41,2,chem,2.94,5,-0.06,94,13,32,0.12,0.08,3
128,http://nrvis.com/./download/data/chem/ENZYMES_g127.zip,ENZYMES-g127,3,2 KB,3.64,6,chem,4.18,5,-0.10,46,40,11,0.56,0.56,4
129,http://nrvis.com/./download/data/chem/ENZYMES_g128.zip,ENZYMES-g128,3,2 KB,0.35,2,chem,2.85,6,-0.08,74,9,26,0.11,0.05,4
130,http://nrvis.com/./download/data/chem/ENZYMES_g129.zip,ENZYMES-g129,3,2 KB,2.73,4,chem,3.64,5,-0.09,40,30,11,0.57,0.60,4
131,http://nrvis.com/./download/data/chem/ENZYMES_g13.zip,ENZYMES-g13,3,2 KB,2.40,5,chem,3.57,5,-0.02,150,101,42,0.51,0.53,5
132,http://nrvis.com/./download/data/chem/ENZYMES_g130.zip,ENZYMES-g130,3,2 KB,2.79,4,chem,3.57,5,-0.12,50,39,14,0.66,0.72,4
133,http://nrvis.com/./download/data/chem/ENZYMES_g131.zip,ENZYMES-g131,3,2 KB,3.44,6,chem,3.89,5,-0.03,70,62,18,0.60,0.61,5
134,http://nrvis.com/./download/data/chem/ENZYMES_g132.zip,ENZYMES-g132,3,2 KB,3.44,7,chem,4,6,-0.06,64,55,16,0.56,0.61,4
135,http://nrvis.com/./download/data/chem/ENZYMES_g133.zip,ENZYMES-g133,3,2 KB,3.35,6,chem,4,5,-0.09,68,57,17,0.58,0.63,4
136,http://nrvis.com/./download/data/chem/ENZYMES_g134.zip,ENZYMES-g134,3,2 KB,0.94,3,chem,3.19,5,-0.06,102,30,32,0.23,0.17,4
137,http://nrvis.com/./download/data/chem/ENZYMES_g135.zip,ENZYMES-g135,3,2 KB,3.46,7,chem,4,7,-0.09,52,45,13,0.54,0.58,5
138,http://nrvis.com/./download/data/chem/ENZYMES_g136.zip,ENZYMES-g136,2,2 KB,0.33,0.50,chem,2,2,-0.50,6,1,3,0.50,0.33,2
139,http://nrvis.com/./download/data/chem/ENZYMES_g137.zip,ENZYMES-g137,3,2 KB,2.73,6,chem,3.64,7,-0.07,80,60,22,0.53,0.62,4
140,http://nrvis.com/./download/data/chem/ENZYMES_g138.zip,ENZYMES-g138,3,2 KB,4.31,7,chem,4.50,7,-0.06,72,69,16,0.52,0.57,5
141,http://nrvis.com/./download/data/chem/ENZYMES_g139.zip,ENZYMES-g139,3,2 KB,2.58,6,chem,4.32,7,-0.01,164,98,38,0.34,0.35,4
142,http://nrvis.com/./download/data/chem/ENZYMES_g14.zip,ENZYMES-g14,3,2 KB,2.39,5,chem,3.56,5,-0.02,146,98,41,0.51,0.53,5
143,http://nrvis.com/./download/data/chem/ENZYMES_g140.zip,ENZYMES-g140,4,2 KB,3.54,6,chem,4.31,5,-0.05,56,46,13,0.51,0.51,4
144,http://nrvis.com/./download/data/chem/ENZYMES_g141.zip,ENZYMES-g141,3,2 KB,3.50,7,chem,4,6,-0.13,48,42,12,0.62,0.64,4
145,http://nrvis.com/./download/data/chem/ENZYMES_g142.zip,ENZYMES-g142,3,2 KB,3.14,4.50,chem,4.14,5,-0.11,58,44,14,0.52,0.55,4
146,http://nrvis.com/./download/data/chem/ENZYMES_g143.zip,ENZYMES-g143,3,2 KB,0.51,4,chem,3.13,6,-0.05,122,20,39,0.12,0.06,4
147,http://nrvis.com/./download/data/chem/ENZYMES_g144.zip,ENZYMES-g144,3,2 KB,3.05,6,chem,3.68,6,-0.07,70,58,19,0.60,0.69,4
148,http://nrvis.com/./download/data/chem/ENZYMES_g145.zip,ENZYMES-g145,3,2 KB,3.05,5,chem,3.90,5,-0.05,78,61,20,0.54,0.59,4
149,http://nrvis.com/./download/data/chem/ENZYMES_g146.zip,ENZYMES-g146,3,2 KB,3.08,8,chem,4.46,7,-0.04,174,120,39,0.39,0.40,5
150,http://nrvis.com/./download/data/chem/ENZYMES_g147.zip,ENZYMES-g147,3,2 KB,1.78,5.50,chem,4.20,6,-0.04,168,71,40,0.26,0.24,4
151,http://nrvis.com/./download/data/chem/ENZYMES_g148.zip,ENZYMES-g148,3,2 KB,1.56,6,chem,4.10,6,-0.03,160,61,39,0.24,0.23,4
